;91;Captain Gumbo;Allons à Lafayette;6fDBxgm-F9E
;92;Camélia Jordana;Non non non;JswOaaE9X-I
;93;Ben l’Oncle Soul;(Je suis un) Soulman;69ptYXvUo7M
;94;Jo Lemaire & Flouze;Je suis venue te dire que je m’en vais;C9_GpNM_SyQ
;95;Elsa;T’en va pas;TeaKAB-IxOE
;96;Michel Fugain;Ring et ding;BJfmAHjDjMw
;97;Cast Roméo & Juliette;Les rois du monde;LEC8rJZb3o0
;98;Michel Sardou;Une fille aux jeux clairs;dcBPaySVtBw
;99;Dave;Du côté de chez Swann;SzvC1OWCBL4
;100;Christophe Maé;Dingue dingue dingue;Rwv1djaV6Fc
